model-1585430337, 1585430351.265, 0.2, 3.07
model-1585430337, 1585430368.015, 0.1, 2.42
model-1585430337, 1585430380.574, 0.33, 1.91
model-1585430337, 1585430393.209, 0.5, 1.5
model-1585430337, 1585430405.725, 0.6, 1.25
model-1585430337, 1585430418.092, 0.67, 1.09
model-1585430337, 1585430429.23, 0.63, 1.1
model-1585430337, 1585430440.541, 0.68, 0.99
model-1585430337, 1585430452.795, 0.71, 0.89
model-1585430337, 1585430465.091, 0.74, 0.81
model-1585430337, 1585430476.188, 0.73, 0.79
model-1585430337, 1585430488.578, 0.75, 0.72
model-1585430337, 1585430500.132, 0.75, 0.7
model-1585430337, 1585430512.324, 0.77, 0.68
model-1585430337, 1585430523.846, 0.79, 0.64
model-1585430337, 1585430536.07, 0.8, 0.6
model-1585430337, 1585430548.104, 0.81, 0.56
model-1585430337, 1585430559.998, 0.82, 0.53
model-1585430337, 1585430570.936, 0.82, 0.53
model-1585430337, 1585430581.847, 0.83, 0.51
model-1585430337, 1585430592.926, 0.84, 0.48
model-1585430337, 1585430604.98, 0.85, 0.47
model-1585430337, 1585430616.408, 0.85, 0.45
model-1585430337, 1585430629.904, 0.86, 0.43
model-1585430337, 1585430641.837, 0.86, 0.44
model-1585430337, 1585430653.377, 0.87, 0.43
model-1585430337, 1585430664.804, 0.87, 0.41
model-1585430337, 1585430676.395, 0.88, 0.4
model-1585430337, 1585430687.997, 0.88, 0.39
model-1585430337, 1585430699.217, 0.89, 0.38
model-1585430337, 1585430710.097, 0.89, 0.36
model-1585430337, 1585430721.092, 0.89, 0.36
model-1585430337, 1585430732.895, 0.9, 0.35
model-1585430337, 1585430744.081, 0.9, 0.34
model-1585430337, 1585430755.665, 0.9, 0.33
model-1585430337, 1585430766.908, 0.91, 0.32
model-1585430337, 1585430778.645, 0.91, 0.32
model-1585430337, 1585430790.075, 0.91, 0.31
model-1585430337, 1585430801.315, 0.91, 0.3
model-1585430337, 1585430812.705, 0.91, 0.29
model-1585430337, 1585430823.966, 0.92, 0.29
model-1585430337, 1585430835.436, 0.92, 0.28
model-1585430337, 1585430847.107, 0.92, 0.27
model-1585430337, 1585430858.601, 0.92, 0.27
model-1585430337, 1585430869.335, 0.92, 0.26
model-1585430337, 1585430880.141, 0.93, 0.26
model-1585430337, 1585430891.244, 0.93, 0.25
model-1585430337, 1585430902.048, 0.93, 0.25
model-1585430337, 1585430912.563, 0.93, 0.24
model-1585430337, 1585430923.42, 0.93, 0.24
model-1585430337, 1585430934.391, 0.93, 0.23
model-1585430337, 1585430945.34, 0.93, 0.23
model-1585430337, 1585430956.693, 0.94, 0.23
model-1585430337, 1585430967.889, 0.94, 0.22
model-1585430337, 1585430978.712, 0.94, 0.22
model-1585430337, 1585430989.567, 0.94, 0.21
model-1585430337, 1585431000.134, 0.94, 0.21
model-1585430337, 1585431010.456, 0.94, 0.21
model-1585430337, 1585431020.618, 0.94, 0.21
model-1585430337, 1585431030.87, 0.94, 0.21
model-1585430337, 1585431041.149, 0.94, 0.21
model-1585430337, 1585431052.438, 0.94, 0.2
model-1585430337, 1585431063.313, 0.94, 0.2
model-1585430337, 1585431074.276, 0.94, 0.2
model-1585430337, 1585431085.375, 0.94, 0.19
model-1585430337, 1585431097.97, 0.95, 0.19
model-1585430337, 1585431109.606, 0.95, 0.19
model-1585430337, 1585431120.837, 0.95, 0.19
model-1585430337, 1585431131.549, 0.95, 0.18
model-1585430337, 1585431142.421, 0.95, 0.18
model-1585430337, 1585431152.94, 0.95, 0.18
model-1585430337, 1585431164.039, 0.95, 0.18
model-1585430337, 1585431174.434, 0.95, 0.17
model-1585430337, 1585431185.305, 0.95, 0.17
model-1585430337, 1585431196.924, 0.95, 0.17
model-1585430337, 1585431209.37, 0.95, 0.17
model-1585430337, 1585431221.998, 0.95, 0.17
