model-1584995025, 1584995025.887, 0.47, 0.2501,0.56, 0.2449
model-1584995025, 1584995026.124, 0.52, 0.2495,0.51, 0.2496
model-1584995025, 1584995026.373, 0.59, 0.248,0.44, 0.2546
model-1584995025, 1584995026.62, 0.55, 0.2466,0.57, 0.2438
model-1584995025, 1584995026.903, 0.42, 0.265,0.46, 0.2514
model-1584995025, 1584995027.155, 0.46, 0.2529,0.5, 0.2501
model-1584995025, 1584995027.391, 0.4, 0.2507,0.45, 0.2504
model-1584995025, 1584995027.635, 0.55, 0.2498,0.44, 0.2508
model-1584995025, 1584995027.874, 0.48, 0.2504,0.44, 0.2504
model-1584995025, 1584995028.107, 0.45, 0.2505,0.47, 0.25
model-1584995025, 1584995028.351, 0.47, 0.2499,0.48, 0.2501
model-1584995025, 1584995028.588, 0.46, 0.2501,0.44, 0.2501
model-1584995025, 1584995028.841, 0.58, 0.2495,0.57, 0.2489
model-1584995025, 1584995029.074, 0.4, 0.2512,0.5, 0.2499
model-1584995025, 1584995029.306, 0.49, 0.2499,0.56, 0.2495
model-1584995025, 1584995029.546, 0.54, 0.2497,0.47, 0.2501
model-1584995025, 1584995029.787, 0.5, 0.2499,0.49, 0.2498
model-1584995025, 1584995030.023, 0.51, 0.2498,0.49, 0.2502
model-1584995025, 1584995030.256, 0.53, 0.2495,0.57, 0.2487
model-1584995025, 1584995030.499, 0.43, 0.2512,0.56, 0.2488
model-1584995025, 1584995030.731, 0.53, 0.2497,0.49, 0.2499
model-1584995025, 1584995030.966, 0.48, 0.2504,0.47, 0.2499
model-1584995025, 1584995031.202, 0.49, 0.2495,0.5, 0.25
model-1584995025, 1584995031.436, 0.48, 0.2501,0.53, 0.2491
model-1584995025, 1584995031.669, 0.51, 0.2492,0.63, 0.2494
model-1584995025, 1584995031.9, 0.61, 0.2496,0.5, 0.2494
model-1584995025, 1584995032.132, 0.46, 0.2501,0.53, 0.2489
model-1584995025, 1584995032.366, 0.55, 0.2481,0.63, 0.2488
model-1584995025, 1584995032.602, 0.69, 0.2481,0.48, 0.2498
model-1584995025, 1584995032.837, 0.47, 0.2482,0.6, 0.2437
model-1584995025, 1584995033.071, 0.46, 0.2499,0.57, 0.243
model-1584995025, 1584995033.308, 0.52, 0.2498,0.57, 0.2466
model-1584995025, 1584995033.546, 0.51, 0.2495,0.64, 0.2481
model-1584995025, 1584995033.781, 0.56, 0.2502,0.65, 0.2488
model-1584995025, 1584995034.016, 0.68, 0.2471,0.61, 0.2469
model-1584995025, 1584995034.264, 0.51, 0.2511,0.58, 0.2486
model-1584995025, 1584995034.503, 0.53, 0.2486,0.55, 0.2478
model-1584995025, 1584995034.747, 0.58, 0.2481,0.47, 0.2491
model-1584995025, 1584995034.981, 0.51, 0.2505,0.42, 0.2512
model-1584995025, 1584995035.217, 0.51, 0.2496,0.48, 0.2491
model-1584995025, 1584995035.448, 0.52, 0.2491,0.51, 0.2481
model-1584995025, 1584995035.68, 0.62, 0.2475,0.52, 0.2496
model-1584995025, 1584995035.922, 0.58, 0.2452,0.59, 0.242
model-1584995025, 1584995036.16, 0.61, 0.2398,0.39, 0.2697
model-1584995025, 1584995036.411, 0.56, 0.2455,0.54, 0.2517
model-1584995025, 1584995036.65, 0.53, 0.254,0.59, 0.239
model-1584995025, 1584995036.889, 0.48, 0.2595,0.43, 0.2608
model-1584995025, 1584995037.125, 0.55, 0.2445,0.5, 0.2488
model-1584995025, 1584995037.36, 0.58, 0.2451,0.49, 0.2498
model-1584995025, 1584995037.591, 0.51, 0.2456,0.59, 0.242
model-1584995025, 1584995037.829, 0.51, 0.2485,0.56, 0.2474
model-1584995025, 1584995038.065, 0.59, 0.2412,0.61, 0.2405
model-1584995025, 1584995038.299, 0.66, 0.2385,0.57, 0.2449
model-1584995025, 1584995038.538, 0.58, 0.2461,0.56, 0.2444
model-1584995025, 1584995038.777, 0.45, 0.2476,0.49, 0.252
model-1584995025, 1584995039.018, 0.57, 0.2358,0.55, 0.2562
model-1584995025, 1584995039.259, 0.67, 0.2371,0.59, 0.2576
model-1584995025, 1584995039.49, 0.5, 0.2667,0.6, 0.2353
model-1584995025, 1584995039.728, 0.58, 0.2415,0.54, 0.2431
model-1584995025, 1584995039.961, 0.54, 0.2504,0.59, 0.2412
model-1584995025, 1584995040.201, 0.58, 0.2427,0.62, 0.2383
model-1584995025, 1584995040.436, 0.54, 0.2461,0.47, 0.2504
model-1584995025, 1584995040.664, 0.5, 0.2482,0.44, 0.2572
model-1584995025, 1584995040.909, 0.52, 0.2513,0.54, 0.2519
model-1584995025, 1584995041.146, 0.5, 0.2502,0.59, 0.2451
model-1584995025, 1584995041.382, 0.52, 0.2513,0.57, 0.2472
model-1584995025, 1584995041.615, 0.69, 0.2376,0.55, 0.2494
model-1584995025, 1584995041.855, 0.52, 0.2486,0.52, 0.2501
model-1584995025, 1584995042.096, 0.44, 0.2528,0.57, 0.2473
model-1584995025, 1584995042.329, 0.56, 0.2458,0.57, 0.2462
model-1584995025, 1584995042.564, 0.54, 0.2483,0.63, 0.2446
model-1584995025, 1584995042.802, 0.57, 0.2481,0.49, 0.2496
model-1584995025, 1584995043.034, 0.61, 0.2405,0.56, 0.2458
model-1584995025, 1584995043.274, 0.61, 0.2442,0.57, 0.2448
model-1584995025, 1584995043.521, 0.56, 0.2439,0.6, 0.2425
model-1584995025, 1584995043.762, 0.62, 0.2402,0.54, 0.2428
model-1584995025, 1584995044.02, 0.57, 0.2428,0.47, 0.25
model-1584995025, 1584995044.254, 0.5, 0.2512,0.58, 0.2425
model-1584995025, 1584995044.503, 0.5, 0.2479,0.62, 0.2357
model-1584995025, 1584995044.751, 0.66, 0.2393,0.66, 0.2386
model-1584995025, 1584995044.993, 0.51, 0.2469,0.58, 0.2317
model-1584995025, 1584995045.227, 0.65, 0.2392,0.63, 0.2301
model-1584995025, 1584995045.461, 0.58, 0.2419,0.67, 0.2262
model-1584995025, 1584995045.709, 0.73, 0.2205,0.64, 0.2278
model-1584995025, 1584995045.955, 0.48, 0.2592,0.63, 0.2294
model-1584995025, 1584995046.19, 0.6, 0.2401,0.63, 0.2233
model-1584995025, 1584995046.425, 0.49, 0.2589,0.59, 0.2295
model-1584995025, 1584995046.666, 0.55, 0.2365,0.65, 0.2108
model-1584995025, 1584995046.906, 0.68, 0.2124,0.62, 0.2356
model-1584995025, 1584995047.143, 0.56, 0.2552,0.67, 0.2237
model-1584995025, 1584995047.384, 0.59, 0.2421,0.63, 0.2269
model-1584995025, 1584995047.622, 0.53, 0.2472,0.55, 0.2426
model-1584995025, 1584995047.856, 0.58, 0.2252,0.56, 0.2369
model-1584995025, 1584995048.088, 0.54, 0.2422,0.59, 0.2357
model-1584995025, 1584995048.321, 0.61, 0.2322,0.54, 0.2515
model-1584995025, 1584995048.553, 0.59, 0.2331,0.65, 0.2239
model-1584995025, 1584995048.791, 0.59, 0.2393,0.54, 0.2436
model-1584995025, 1584995049.027, 0.5, 0.2524,0.6, 0.2402
model-1584995025, 1584995049.27, 0.61, 0.2319,0.63, 0.2354
model-1584995025, 1584995049.504, 0.53, 0.2485,0.51, 0.266
model-1584995025, 1584995049.74, 0.59, 0.2401,0.53, 0.258
model-1584995025, 1584995049.978, 0.56, 0.2453,0.57, 0.2318
model-1584995025, 1584995050.221, 0.51, 0.2511,0.51, 0.2445
model-1584995025, 1584995050.457, 0.63, 0.2365,0.61, 0.2321
model-1584995025, 1584995050.705, 0.66, 0.2356,0.69, 0.2193
model-1584995025, 1584995050.954, 0.63, 0.2249,0.6, 0.2376
model-1584995025, 1584995051.188, 0.61, 0.238,0.49, 0.2569
model-1584995025, 1584995051.422, 0.56, 0.2479,0.53, 0.2371
model-1584995025, 1584995051.659, 0.57, 0.2536,0.6, 0.2362
model-1584995025, 1584995051.918, 0.58, 0.2419,0.66, 0.2317
model-1584995025, 1584995052.155, 0.65, 0.2251,0.57, 0.2407
model-1584995025, 1584995052.4, 0.64, 0.2321,0.65, 0.2273
model-1584995025, 1584995052.639, 0.57, 0.2399,0.74, 0.2165
model-1584995025, 1584995052.871, 0.62, 0.2303,0.66, 0.2229
model-1584995025, 1584995053.116, 0.62, 0.2259,0.61, 0.2453
model-1584995025, 1584995053.368, 0.67, 0.2277,0.52, 0.2604
model-1584995025, 1584995053.635, 0.63, 0.2214,0.67, 0.217
model-1584995025, 1584995053.915, 0.54, 0.2429,0.63, 0.2176
model-1584995025, 1584995054.187, 0.67, 0.2217,0.65, 0.2222
model-1584995025, 1584995054.439, 0.59, 0.2385,0.61, 0.2295
model-1584995025, 1584995054.693, 0.59, 0.2337,0.62, 0.2247
model-1584995025, 1584995054.956, 0.6, 0.2364,0.64, 0.2259
model-1584995025, 1584995055.201, 0.64, 0.2182,0.59, 0.2448
model-1584995025, 1584995055.436, 0.7, 0.2026,0.67, 0.2137
model-1584995025, 1584995055.678, 0.65, 0.2274,0.66, 0.2187
model-1584995025, 1584995055.911, 0.71, 0.2091,0.57, 0.236
model-1584995025, 1584995056.135, 0.65, 0.2379,0.56, 0.2564
model-1584995025, 1584995056.365, 0.6, 0.2329,0.64, 0.2347
model-1584995025, 1584995056.596, 0.61, 0.2298,0.7, 0.2086
model-1584995025, 1584995056.831, 0.69, 0.2101,0.63, 0.223
model-1584995025, 1584995057.064, 0.62, 0.2479,0.67, 0.2286
model-1584995025, 1584995057.298, 0.55, 0.2536,0.61, 0.2257
model-1584995025, 1584995057.528, 0.73, 0.193,0.64, 0.218
model-1584995025, 1584995057.761, 0.64, 0.2305,0.58, 0.2529
model-1584995025, 1584995057.997, 0.58, 0.2495,0.61, 0.2416
model-1584995025, 1584995058.229, 0.64, 0.2325,0.68, 0.2158
model-1584995025, 1584995058.46, 0.51, 0.2579,0.68, 0.217
model-1584995025, 1584995058.691, 0.66, 0.2244,0.56, 0.2489
model-1584995025, 1584995058.924, 0.57, 0.2497,0.58, 0.2394
model-1584995025, 1584995059.162, 0.55, 0.253,0.56, 0.2571
model-1584995025, 1584995059.393, 0.54, 0.2549,0.48, 0.2794
model-1584995025, 1584995059.628, 0.49, 0.2677,0.52, 0.2654
model-1584995025, 1584995059.859, 0.55, 0.2458,0.53, 0.2535
model-1584995025, 1584995060.09, 0.48, 0.2674,0.56, 0.2454
model-1584995025, 1584995060.323, 0.58, 0.2432,0.6, 0.2376
model-1584995025, 1584995060.556, 0.65, 0.2372,0.68, 0.2286
model-1584995025, 1584995060.791, 0.69, 0.2254,0.67, 0.2279
model-1584995025, 1584995061.023, 0.62, 0.2341,0.65, 0.2314
model-1584995025, 1584995061.255, 0.66, 0.2338,0.64, 0.2386
model-1584995025, 1584995061.489, 0.65, 0.2345,0.66, 0.2307
model-1584995025, 1584995061.718, 0.66, 0.2317,0.64, 0.2315
model-1584995025, 1584995061.949, 0.54, 0.2482,0.66, 0.2267
model-1584995025, 1584995062.179, 0.59, 0.239,0.66, 0.2311
model-1584995025, 1584995062.411, 0.63, 0.2335,0.61, 0.2309
model-1584995025, 1584995062.642, 0.57, 0.2384,0.6, 0.2351
model-1584995025, 1584995062.874, 0.61, 0.2386,0.6, 0.2374
model-1584995025, 1584995063.105, 0.62, 0.2366,0.72, 0.2247
model-1584995025, 1584995063.341, 0.64, 0.2287,0.68, 0.2314
model-1584995025, 1584995063.573, 0.52, 0.2473,0.63, 0.2354
model-1584995025, 1584995063.809, 0.6, 0.2312,0.62, 0.2325
model-1584995025, 1584995064.041, 0.54, 0.247,0.67, 0.2263
model-1584995025, 1584995064.275, 0.62, 0.2385,0.61, 0.2299
model-1584995025, 1584995064.537, 0.57, 0.2423,0.6, 0.2355
